Дата,Кредитный импульс
2010-02,-7.7893
2010-03,-5.7966
2010-04,-4.8509
2010-05,-3.6621
2010-06,-1.37
2010-07,-0.0133
2010-08,0.7562
2010-09,1.8286
2010-10,3.2567
2010-11,4.4098
2010-12,4.9257
2011-01,5.2657
2011-02,5.8598
2011-03,5.304
2011-04,5.2854
2011-05,5.3767
2011-06,4.7041
2011-07,5.2523
2011-08,5.5753
2011-09,5.7418
2011-10,5.1475
2011-11,4.9419
2011-12,5.3727
2012-01,5.3098
2012-02,4.5992
2012-03,4.7698
2012-04,4.9428
2012-05,4.3636
2012-06,4.1287
2012-07,3.2567
2012-08,3.0335
2012-09,1.8454
2012-10,2.0693
2012-11,0.968
2012-12,-0.1761
2013-01,0.0618
2013-02,0.3218
2013-03,-0.105
2013-04,-0.8122
2013-05,-1.0028
2013-06,-0.9025
2013-07,-0.7545
2013-08,-0.9936
2013-09,-0.5359
2013-10,-0.9596
2013-11,-0.2098
2013-12,-0.2871
2014-01,-0.3866
2014-02,-0.7153
2014-03,-0.727
2014-04,-0.9546
2014-05,-0.5094
2014-06,-1.1052
2014-07,-1.3781
2014-08,-1.7027
2014-09,-1.5677
2014-10,-1.7252
2014-11,-1.9294
2014-12,0.8281
2015-01,0.4634
2015-02,0.4482
2015-03,-0.4765
2015-04,0.0673
2015-05,-0.8659
2015-06,-0.8301
2015-07,-0.6404
2015-08,-0.778
2015-09,-1.1905
2015-10,-0.8833
2015-11,-1.0506
2015-12,-5.5826
2016-01,-5.1534
2016-02,-5.1526
2016-03,-3.6222
2016-04,-3.9024
2016-05,-4.2187
2016-06,-3.28
2016-07,-3.5666
2016-08,-2.9635
2016-09,-2.8957
2016-10,-2.9583
2016-11,-2.8304
2016-12,-0.2626
2017-01,-0.4767
2017-02,-0.3345
2017-03,-0.9796
2017-04,-0.2571
2017-05,1.8211
2017-06,1.1357
2017-07,1.8545
2017-08,1.7257
2017-09,2.3792
2017-10,2.521
2017-11,2.6341
2017-12,2.0534
2018-01,1.8442
2018-02,2.2144
2018-03,2.653
2018-04,2.2816
2018-05,1.4316
2018-06,1.8454
2018-07,1.4467
2018-08,1.9704
2018-09,1.1825
2018-10,1.4412
2018-11,1.3841
2018-12,1.7711
2019-01,3.4517
2019-02,3.2705
2019-03,2.928
2019-04,3.0272
2019-05,2.5664
2019-06,2.2894
2019-07,2.0507
2019-08,1.6177
2019-09,2.0348
2019-10,1.3182
2019-11,1.0891
2019-12,0.9212
2020-01,-1.4666
2020-02,-1.7342
2020-03,-0.9186
2020-04,-1.8129
2020-05,-1.6665
2020-06,-1.6537
2020-07,-1.2919
2020-08,-1.3946
2020-09,-1.5352
2020-10,-0.6679
2020-11,-0.172
2020-12,0.2187
2021-01,1.3559
2021-02,1.6549
2021-03,0.3492
2021-04,2.0186
2021-05,2.8987
2021-06,3.36
2021-07,3.6516
2021-08,4.2843
2021-09,5.0209
2021-10,4.7656
2021-11,4.5405
2021-12,4.1757
2022-01,4.2833
2022-02,4.4036
2022-03,5.2833
2022-04,3.7352
2022-05,2.1665
2022-06,0.9428
2022-07,0.426
2022-08,0.1577
2022-09,0.0387
2022-10,-0.0277
2022-11,0.3506
2022-12,1.0263
2023-01,0.6778
2023-02,0.7938
2023-03,0.3743
2023-04,1.42
2023-05,2.7075
2023-06,4.1878
2023-07,5.1398
2023-08,5.0222
2023-09,5.0531
2023-10,5.2965
2023-11,5.3341
2023-12,4.2224
2024-01,4.6839
2024-02,4.1653
2024-03,4.1604
2024-04,3.6676
2024-05,3.3192
2024-06,2.9255
2024-07,1.9201
2024-08,1.8751
2024-09,1.0333
2024-10,0.7166
2024-11,-0.3385
2024-12,-0.9666
