Дата;Ожидаемая инфляция (%)
2009-12;
2010-04;14,4
2010-06;12,9
2010-09;16,2
2010-12;18,7
2011-07;17,0
2011-09;16,4
2011-12;15,8
2012-07;15,7
2012-09;15,7
2012-11;16,0
2012-12;17,4
2013-03;14,5
2013-06;11,0
2013-09;11,4
2013-12;13,0
2014-02;11,8
2014-04;11,5
2014-05;12,7
2014-06;11,7
2014-07;11,3
2014-08;11,8
2014-09;12,5
2014-10;13,8
2014-11;13,1
2014-12;15,5
2015-01;16,6
2015-02;18,1
2015-03;15,7
2015-04;14,0
2015-05;14,3
2015-06;15,0
2015-07;13,9
2015-08;14,8
2015-09;16,0
2015-10;15,3
2015-11;15,8
2015-12;16,4
2016-01;16,7
2016-02;15,7
2016-03;14,7
2016-04;14,6
2016-05;13,6
2016-06;14,2
2016-07;14,3
2016-08;12,6
2016-09;14,2
2016-10;12,3
2016-11;13,7
2016-12;12,4
2017-01;11,5
2017-02;12,9
2017-03;11,2
2017-04;11,0
2017-05;10,3
2017-06;10,3
2017-07;10,7
2017-08;9,5
2017-09;9,6
2017-10;9,9
2017-11;8,7
2017-12;8,7
2018-01;8,9
2018-02;8,4
2018-03;8,5
2018-04;7,8
2018-05;8,6
2018-06;9,8
2018-07;9,7
2018-08;9,9
2018-09;10,1
2018-10;9,3
2018-11;9,8
2018-12;10,2
2019-01;10,4
2019-02;10,1
2019-03;9,1
2019-04;9,4
2019-05;9,3
2019-06;9,4
2019-07;9,4
2019-08;9,1
2019-09;8,9
2019-10;8,6
2019-11;8,3
2019-12;9,0
2020-01;8,3
2020-02;7,9
2020-03;7,9
2020-08;8,8
2020-09;8,9
2020-10;9,7
2020-11;10,1
2020-12;11,5
2021-01;10,5
2021-02;9,9
2021-03;10,1
2021-04;11,9
2021-05;11,3
2021-06;11,9
2021-07;13,4
2021-08;12,5
2021-09;12,3
2021-10;13,6
2021-11;13,5
2021-12;14,8
2022-01;13,7
2022-02;13,5
2022-03;18,3
2022-04;12,5
2022-05;11,5
2022-06;12,4
2022-07;10,8
2022-08;12,0
2022-09;12,5
2022-10;12,8
2022-11;12,2
2022-12;12,1
2023-01;11,6
2023-02;12,2
2023-03;10,7
2023-04;10,4
2023-05;10,8
2023-06;10,2
2023-07;11,1
2023-08;11,5
2023-09;11,7
2023-10;11,2
2023-11;12,2
2023-12;14,2
2024-01;12,7
2024-02;11,9
2024-03;11,5
2024-04;11,0
2024-05;11,7
2024-06;11,9
2024-07;12,4
2024-08;12,9
2024-09;12,5
2024-10;13,4
2024-11;13,4
2024-12;13,9
2025-01;14,0
2025-02;13,7
2025-03;12,9
2025-04;13,1
2025-05;13,4
2025-06;13,0
